date,precision_in_bits,pphys,dx,dz,dm,dx2,dz2,dm2,error_rate,qubits,code_cycles
2024-03-29 13:25,128,1e-05,3,3,3,7,11,9,3.973964058745784e-11,2286,270.05394810872474
2024-03-29 13:25,128,1e-05,3,3,3,7,11,11,4.9550792509514646e-11,2502,330.0288195479405
2024-03-29 13:25,128,1e-05,3,3,3,9,3,3,2.2329524895929877e-13,1182,270.1086430775784
2024-03-29 13:25,128,1e-05,3,3,3,9,3,5,1.0349759509902561e-13,1318,270.0926204424712
2024-03-29 13:25,128,1e-05,3,3,3,9,3,7,1.0594148859184456e-13,1486,270.0925991355767
2024-03-29 13:25,128,1e-05,3,3,3,9,3,9,1.0881910867688145e-13,1686,270.0925991079574
2024-03-29 13:25,128,1e-05,3,3,3,9,3,11,1.4425720669855478e-13,1918,330.08654519587475
2024-03-29 13:26,128,1e-05,3,3,3,9,5,3,5.5037498195540784e-14,1470,270.0721601788794
2024-03-29 13:26,128,1e-05,3,3,3,9,5,5,2.6440630241276834e-14,1606,270.05399390395667
2024-03-29 13:26,128,1e-05,3,3,3,9,5,7,2.9609612663784876e-14,1774,270.0539713126734
2024-03-29 13:26,128,1e-05,3,3,3,9,5,9,3.310958754422005e-14,1974,270.05397128413847
2024-03-29 13:26,128,1e-05,3,3,3,9,5,11,3.963636844491303e-14,2206,330.0288541602187
2024-03-29 13:26,128,1e-05,3,3,3,9,7,3,6.212168370758923e-14,1758,270.07428410970255
2024-03-29 13:26,128,1e-05,3,3,3,9,7,5,2.797691991483765e-14,1894,270.0539720193799
2024-03-29 13:26,128,1e-05,3,3,3,9,7,7,3.1767030609696525e-14,2062,270.05394814085366
2024-03-29 13:26,128,1e-05,3,3,3,9,7,9,3.5889226953998226e-14,2262,270.05394811139934
2024-03-29 13:26,128,1e-05,3,3,3,9,7,11,4.303370392219174e-14,2494,330.02881955193516
2024-03-29 13:26,128,1e-05,3,3,3,9,9,3,6.990585102537263e-14,2046,270.07643121646606
2024-03-29 13:26,128,1e-05,3,3,3,9,9,5,2.953360950458327e-14,2182,270.05397329099577
2024-03-29 13:26,128,1e-05,3,3,3,9,9,7,3.394480913915628e-14,2350,270.0539481252247
2024-03-29 13:26,128,1e-05,3,3,3,9,9,9,3.868922689793158e-14,2550,270.0539480948509
2024-03-29 13:26,128,1e-05,3,3,3,9,9,11,4.645592607510395e-14,2782,330.02881952721924
2024-03-29 13:26,128,1e-05,3,3,3,9,11,3,7.835662432312693e-14,2334,270.0785783580478
2024-03-29 13:26,128,1e-05,3,3,3,9,11,5,3.109031377870033e-14,2470,270.05397457914967
2024-03-29 13:26,128,1e-05,3,3,3,9,11,7,3.612260219861473e-14,2638,270.0539481261337
2024-03-29 13:26,128,1e-05,3,3,3,9,11,9,4.148924137182605e-14,2838,270.05394809484056
2024-03-29 13:26,128,1e-05,3,3,3,9,11,11,4.9878165984884333e-14,3070,330.0288195272027
2024-03-29 13:27,128,1e-05,3,3,3,11,3,3,2.8794108389926033e-13,1462,270.11878194618515
2024-03-29 13:27,128,1e-05,3,3,3,11,3,5,1.1517795385149934e-13,1614,270.1012111572383
2024-03-29 13:27,128,1e-05,3,3,3,11,3,7,1.1501397613261244e-13,1798,270.1011888403097
2024-03-29 13:27,128,1e-05,3,3,3,11,3,9,1.1501624931990585e-13,2014,270.1011888119109
2024-03-29 13:27,128,1e-05,3,3,3,11,3,11,1.5709828967462264e-13,2262,330.099374198975
2024-03-29 13:27,128,1e-05,3,3,3,11,5,3,4.430080652256455e-14,1814,270.07419090317813
2024-03-29 13:27,128,1e-05,3,3,3,11,5,5,6.971299143631852e-15,1966,270.0540003533974
2024-03-29 13:27,128,1e-05,3,3,3,11,5,7,6.952977284201836e-15,2150,270.05397646683076
2024-03-29 13:27,128,1e-05,3,3,3,11,5,9,6.955942197039778e-15,2366,270.0539764373129
2024-03-29 13:27,128,1e-05,3,3,3,11,5,11,6.9674407063381204e-15,2614,330.02886185643825
2024-03-29 13:27,128,1e-05,3,3,3,11,7,3,5.2632487028784713e-14,2166,270.0767868420001
2024-03-29 13:27,128,1e-05,3,3,3,11,7,5,6.9490000475254434e-15,2318,270.05397360557885
