date,precision_in_bits,pphys,dx,dz,dm,dx2,dz2,dm2,n1,error_rate,qubits,code_cycles
2024-04-02 16:43,128,1e-05,3,1,1,11,7,5,4,1.1835242211284814e-16,4454,37.50081795891503
2024-04-02 16:43,128,1e-05,3,1,1,11,7,5,6,1.1841071389729698e-16,4784,37.50081810657471
2024-04-02 16:43,128,1e-05,3,1,1,11,7,7,2,1.211297473013663e-16,5200,52.501140277134866
2024-04-02 16:43,128,1e-05,3,1,1,11,7,7,4,1.2112980508845953e-16,5558,52.501140277341584
2024-04-02 16:43,128,1e-05,3,1,1,11,7,7,6,1.211298628755737e-16,5916,52.50114027754831
2024-04-02 16:44,128,1e-05,3,1,1,13,1,1,2,5.8836819295319464e-05,1692,54.93583568971224
2024-04-02 16:44,128,1e-05,3,1,1,13,1,1,4,2.5860566757335978e-05,1966,26.07765080518987
2024-04-02 16:44,128,1e-05,3,1,1,13,1,1,6,1.9062596185873366e-05,2240,17.129469028480038
2024-04-02 16:44,128,1e-05,3,1,1,13,1,3,2,2.97422753154161e-08,2144,50.83587423034911
2024-04-02 16:44,128,1e-05,3,1,1,13,1,3,4,7.73636374804315e-09,2446,24.030169927818722
2024-04-02 16:44,128,1e-05,3,1,1,13,1,3,6,7.914842327931844e-09,2748,23.80416205416069
2024-04-02 16:44,128,1e-05,3,1,1,13,1,5,2,7.1211553691626965e-09,2916,50.83275708183959
2024-04-02 16:44,128,1e-05,3,1,1,13,1,5,4,4.852603837352412e-09,3246,41.17322172095061
2024-04-02 16:44,128,1e-05,3,1,1,13,1,5,6,4.8534803953058664e-09,3576,41.17322188201197
2024-04-02 16:44,128,1e-05,3,1,1,13,1,7,2,9.49540766892199e-09,4008,59.80947604050326
2024-04-02 16:44,128,1e-05,3,1,1,13,1,7,4,9.495409390703762e-09,4366,59.80947604073658
2024-04-02 16:44,128,1e-05,3,1,1,13,1,7,6,9.495411112485534e-09,4724,59.80947604096989
2024-04-02 16:44,128,1e-05,3,1,1,13,3,1,2,1.3652977079158798e-05,2316,50.663814274434614
2024-04-02 16:44,128,1e-05,3,1,1,13,3,1,4,1.5196593809210741e-05,2590,25.43207374230469
